entity,day,training_computation_petaflop
Perceptron (1960),1960-03-30,7.2e-07
Perceptron Mark I,1957-01-01,6.948949e-10
PermuteFormer,2021-09-06,2775.0
Pluribus,2019-07-11,66.0
PoE MNIST,2000-11-28,0.051810004
Pointer Sentinel-LSTM (medium),2016-09-26,7.49
PolyCoder,2022-02-26,1100000.0
PolyNet,2016-11-17,64000.0
Pooling CNN (Caltech 101),2010-09-15,1.2211242
Pooling CNN (NORB),2010-09-15,1.4562773
Predictive Coding NN,1994-12-02,0.018621901
Print Recognition Logic,1963-01-01,2.25e-08
ProBERTa,2020-09-01,9720.001
ProGen2-xlarge,2022-06-27,13500001.0
Projected GAN,2021-11-01,10500.0
ProtBERT-BFD,2021-05-04,39000004.0
ProtT5-XL-U50,2021-05-04,18704498.0
ProteinBERT,2022-02-10,65000.0
PyramidNet,2017-09-06,2.34
QRNN,2018-02-01,688.66473
QwQ-32B,2025-03-06,3510000000.0
Qwen-72B,2023-11-30,1300000000.0
Qwen1.5-72B,2024-02-04,1300000000.0
Qwen2-72B,2024-06-07,3020000000.0
Qwen2.5 Instruct (72B),2024-09-19,7851600400.0
Qwen2.5-32B,2024-09-17,3510000000.0
Qwen2.5-72B,2024-09-19,7800000000.0
Qwen3-235B-A22B,2025-04-29,4752000000.0
Qwen3-235B-A22B (Jul 2025),2025-07-25,4752000000.0
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,4752000000.0
Qwen3-Coder-480B-A35B,2025-07-22,1575000000.0
Qwen3-Max,2025-09-05,15120000000.0
Qwen3-Omni-30B-A3B,2025-09-22,36000000.0
R-FCN,2016-06-21,719.3578
RCTM,2013-10-01,9.3312
RDT-1B,2024-10-10,40600000.0
RECONTRA-categorized,1999-06-02,0.0080136005
RECONTRA-uncategorized,1999-06-02,0.003864
RETRO-7B,2022-02-07,16800000.0
RNN LM,2010-09-26,53.960003
RNNsearch-50*,2014-09-01,1555.2
RNTN,2013-10-01,14.22
RankNet,2005-08-07,0.0034820817
ReLU-Speech,2013-05-26,127.733765
Reka Core,2024-04-15,8400010000.0
ResNeXt-101 (64×4d),2016-11-16,12000.0
ResNeXt-101 32x48d,2018-05-02,8743950.0
ResNet-101 (ImageNet),2015-12-10,7004.0
ResNet-152 (ImageNet),2015-12-10,10414.081
ResNet-200,2016-09-17,29741.645
RetinaNet-R101,2017-08-07,2065.392
RoBERTa Large,2019-07-01,8506700.0
RoFormer,2023-11-08,2162.688
RoseTTAFold All-Atom (RFAA),2023-10-09,214000.02
S4,2021-10-31,78328.625
SAF R-CNN,2015-10-28,12311.081
SB-LM,2007-06-22,1449.4465
SEER,2021-07-29,18000000.0
SNM-skip,2014-12-03,297600.0
SOM-CNN,1997-01-31,3.1431602e-05
SPHINX (Llama 2 13B),2023-11-13,30400000.0
SPIDER2,2016-10-28,18.220001
SPN-4+KN5,2014-09-14,44.0
SPPNet,2014-06-18,3411.072
SRU++ Large,2021-02-24,21173.705
ST-MoE,2022-02-17,290000000.0
SVM-CNN,2006-06-17,0.7452
Samuel Neural Checkers,1959-07-01,4.284e-07
Sandwich Transformer,2019-11-10,23504.094
SciBERT,2019-03-26,89268.48
Seed1.5-VL,2025-05-11,1388556000.0
"Segatron-XL large, M=384 + HCP",2022-03-21,26500.0
Segment Anything Model,2023-04-05,7800000.0
Seq2Seq LSTM,2014-09-10,56000.0
SexNet compression,1990-10-01,7.87752e-05
Siamese-TDNN,1993-08-01,0.01286957
SigLIP 400M,2023-03-27,4946730.5
Skywork-13B,2023-10-30,250000000.0
SmooCT,2014-07-01,69.0
Solar Open 100B,2025-12-31,1400000000.0
Solar Open2 250B,2026-06-28,1050000000.0
Sparse all-MLP,2022-04-14,532224.0
Speaker-independent vowel classification,1989-11-27,7.485696e-06
Stable Diffusion (LDM-KL-8-G),2022-04-13,50000000.0
Stable Diffusion 3,2024-02-22,50000000.0
StarCoder,2023-05-09,84600000.0
Statement Curriculum Learning,2022-03-02,17901648.0
Student of Games,2021-12-06,36679270.0
StyleGAN,2018-12-12,39.3
StyleGAN3-R,2021-06-21,2427840.0
StyleGAN3-T,2021-06-21,1702080.0
Swift,2023-08-30,53.37
Swin Transformer V2 (SwinV2-G),2021-11-18,1100000.0
Switch,2021-01-11,82200000.0
System 11,1996-06-18,2.5859617e-05
T5-11B,2019-10-23,33000000.0
T5-3B,2019-10-23,9000000.0
TA-CNN,2014-11-29,10.854
TC-DNN-BLSTM-DNN,2015-04-06,194.10193
TD-Gammon,1992-05-01,0.018232157
TaLK Convolution,2020-02-08,26990.346
Telechat2-115B,2024-09-20,6900000300.0
Tensor-Transformer(1core)+PN (WT103),2020-03-17,1580.0
Theseus,1950-07-02,4e-14
Tranception,2022-05-27,7240000.5
TransE,2013-12-05,1340.928
Transformer (2017),2017-06-12,7424.525
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,44700.0
Transformer + Simple Recurrent Unit,2018-09-17,11000.0
Transformer local-attention (NesT-B),2021-05-26,24057.602
Transformer-XL (257M),2019-01-09,378327.72
Transformer-XL DeFINE (141M),2019-11-27,1742.76
Transformer-XL Large + Phrase Induction,2019-06-04,378486.53
TransformerXL + spectrum control,2020-03-11,26289.762
Translation-invariant MLP,1987-06-15,1.8032948e-05
TrellisNet,2018-10-15,2780.0
Turing ULRv5,2021-09-28,28983952.0
Turing-NLG,2020-02-13,15700000.0
Two Stage Feature Extraction (MNIST),2009-09-01,0.020754
U-Net,2015-05-18,50.832253
U-PaLM (540B),2022-10-20,2530000100.0
UDSMProt,2019-09-04,637.0
UL2,2022-05-10,120000000.0
UnifiedQA,2020-05-02,16500.0
Unsupervised High-level Feature Learner,2012-07-12,600.0
VALL-E,2023-01-05,10100.0
VD-LSTM+REAL Large,2016-11-04,21.3
VGG16,2014-09-04,12291.0
VGG19,2014-09-04,11000.0
